product_id,proper_name,proper_name_f,common_name,common_name_f,potency_amount,potency_unit_of_measure,potency_unit_of_measure_f,potency_constituent,quantity,quantity_minimum,quantity_maximum,quantity_unit_of_measure,quantity_unit_of_measure_f,ratio_numerator,ratio_denominator,dried_herb_equivalent,dhe_unit_of_measure,dhe_unit_of_measure_f,extract_type_desc,extract_type_desc_f,source_material,source_material_f
100016,Camellia sinensis,Camellia sinensis,Green tea extract,Extrait de the vert,45.0,%,%,Epigallocatechin 3-gallate,,,,,,,,,,,,,Leaf,Feuille 
100016,Camellia sinensis,Camellia sinensis,Green tea extract,Extrait de the vert,6.0,%,%,Caffeine,35.0,,,milligrams,milligramme,5.0,1.0,175.0,milligrams,milligramme,Dry,Matériel brut sec,Leaf,Feuille 
100016,Camellia sinensis,Camellia sinensis,Green tea extract,Extrait de the vert,85.0,%,%,Polyphenols,,,,,,,,,,,,,Leaf,Feuille 
100016,Crataegus pinnatifida,Crataegus pinnatifida,Hawthorn Fruit,Fruit d'aubepine,,,,,50.0,,,milligrams,milligramme,50.0,1.0,2500.0,milligrams,milligramme,Dry,Matériel brut sec,Fruit,Fruit 
100016,Folate,Folate,Folic Acid,Acide folique,,,,,500.0,,,micrograms,microgrammes,,,,,,,,Folate,Folate 
100016,"Hexanicotinyl cis-1,2,3,5-trans-4,6-cyclohexane","hexanicotinyl cis-1,2,3,5-trans-4,6-cyclohexane",Inositol hexanicotinate,Hexanicotinate d'inositol,,,,,35.0,,,milligrams,milligramme,,,,,,,,"Inositol hexanicotinate",Hexanicotinate d'inositol 
100016,Omega-3 Fatty Acids,Acides gras oméga-3,,,,,,,30.0,,,milligrams,milligramme,,,,,,,,Omega-3 Fatty acids,Acides gras oméga-3 
100016,Panax notoginseng,Panax notoginseng,Notoginseng,Notoginseng,,,,,40.0,,,milligrams,milligramme,5.0,1.0,200.0,milligrams,milligramme,Dry,Matériel brut sec,Root,Racine 
100016,Policosanol,Policosanol,,,,,,,5.0,,,milligrams,milligramme,,,,,,,,Policosanol,Policosanol 
100016,Vitamin B12,Vitamine B12,,,,,,,200.0,,,micrograms,microgrammes,,,,,,,,Vitamin B12,Vitamine B12 
100016,Vitis Vinifera,Vitis Vinifera,Grape seed extract,Extrait de pepins de raisin,95.0,%,%,Oligomeric proanthocyanidins,50.0,,,milligrams,milligramme,10.0,1.0,500.0,milligrams,milligramme,Dry,Matériel brut sec,Seed(s),"Semence(s) "
100017,Helichrysum italicum,Helichrysum italicum,White-leaf everlasting,Immortelle a feuille large,,,,,100.0,,,%,%,,,,,,,,Herb top flowering,Sommité en fleurs (herbe) 
100018,9-Hexadecenoic acid,Acide 9-Hexadécenoïque,Palmitoleic acid,Acide palmitoleique,,,,,110.0,,,milligrams,milligramme,,,,,,,,Palmitoleic acid,Acide palmitoléique 
100018,Krill oil,Huile de krill,Krill oil,Huile de krill,106.0,milligrams,milligramme,Omega-3 Fatty acids,,,,,,,,,,,,,Euphausia superba - Whole,Euphausia superba - en entier 
100018,Krill oil,Huile de krill,Krill oil,Huile de krill,231.0,milligrams,milligramme,Phospholipids,,,,,,,,,,,,,Euphausia superba - Whole,Euphausia superba - en entier 
